Claim_ID,Claim_Date,Vehicle_Registration_Date,Vehicle_Failure_Date,Vehicle_MFD_Year,Mileage_km,Part_Group,Subpart_Code,Failure_Mode,Customer_Type,Region,Labor_Cost,Material_Cost,Total_Cost,Burden_Ratio,Final_Claim_Decision,Final_DPR_Decision
CLM_000001,2022-04-08,2020-06-04,2022-03-19,2020,27512.065569712293,Chassis,CHS_A,No_Start,Retail,Region_2,154.60315588713004,388.18788105341423,542.7910369405442,0.3820990311639875,Approve,Reject
CLM_000002,2024-04-27,2023-10-12,2024-04-14,2023,4840.819370795323,Body,BODY_B,No_Start,Retail,Region_3,142.26515711099455,68.02209146951567,210.2872485805102,0.7915112368741613,Approve,Reject
CLM_000003,2023-12-18,2018-09-16,2023-11-17,2018,74398.91928402128,Electronics,ELEC_A,Leak,Retail,Region_2,159.95702310377195,426.2414085007085,586.1984316044804,0.36216972530969715,Reject,Reject
CLM_000004,2023-04-26,2017-08-15,2023-03-17,2017,58781.12970576477,Body,BODY_A,Electrical_Issue,Retail,Region_3,278.09747231080377,168.9865984398953,447.0840707506991,0.6216668046253992,Approve,Approve
CLM_000005,2023-04-20,2016-11-22,2023-04-04,2016,87272.26865302165,Electronics,ELEC_C,No_Start,Retail,Region_2,226.48024856317704,334.52635577624494,561.006604339422,0.7342196847925737,Reject,Reject
CLM_000006,2024-07-29,2016-10-03,2024-06-13,2016,17217.510775891347,Chassis,CHS_A,Leak,Fleet,Region_3,260.15623422653505,242.02680731826382,502.18304154479887,0.5455031523127728,Approve,Approve
CLM_000007,2022-04-05,2018-01-14,2022-02-26,2018,39542.72674767238,Engine,ENG_C,Leak,Retail,Region_3,66.58451600630725,159.9875582636338,226.57207426994103,0.9729304343405694,Approve,Reject
CLM_000008,2024-02-03,2017-03-27,2024-01-24,2017,153118.79064251904,Brakes,BRK_A,Vibration,Retail,Region_2,280.5156603412319,42.787436438012286,323.3030967792442,0.7644399452851358,Reject,Reject
CLM_000009,2022-08-09,2016-08-23,2022-06-14,2016,114229.80684667286,Brakes,BRK_B,Vibration,Retail,Region_3,65.1482012325877,217.23444527805796,282.38264651064566,0.32586290731573053,Reject,Reject
CLM_000010,2022-04-14,2019-10-24,2022-04-11,2019,53425.924936047304,Chassis,CHS_B,No_Start,Retail,Region_2,198.9158912078361,97.1117069289001,296.0275981367362,0.49771317868678494,Reject,Approve
CLM_000011,2023-07-31,2016-08-06,2023-06-22,2016,153269.71558439528,Electronics,ELEC_C,No_Start,Retail,Region_3,53.99208094448493,212.43190486474194,266.42398580922685,0.4511878675164764,Reject,Reject
CLM_000012,2024-12-04,2024-03-25,2024-11-08,2024,12779.983640243523,Body,BODY_A,Leak,Retail,Region_3,237.72217975172646,363.10010593300353,600.82228568473,0.43640138652204885,Approve,Approve
CLM_000013,2024-03-16,2019-03-07,2024-02-06,2019,64062.09717320422,Chassis,CHS_B,Leak,Retail,Region_2,214.58489224851192,288.79014715064585,503.3750393991578,0.3694018729215081,Approve,Reject
CLM_000014,2024-04-13,2016-07-17,2024-02-27,2016,76009.47362886417,Engine,ENG_B,No_Start,Retail,Region_1,474.43215810409293,6.886655136551901,481.31881324064483,0.34857486769157814,Reject,Approve
CLM_000015,2024-02-25,2018-08-25,2024-01-15,2018,114177.48845142315,Chassis,CHS_B,Noise,Retail,Region_3,14.953117020296933,147.3575810703429,162.31069809063982,0.8961283651049878,Approve,Approve
CLM_000016,2024-05-10,2016-08-23,2024-04-01,2016,118258.73950478465,Engine,ENG_C,Noise,Fleet,Region_2,88.73625519834228,114.0443570472661,202.78061224560838,0.9914674055526771,Reject,Reject
CLM_000017,2023-07-16,2022-10-27,2023-05-27,2022,19718.27366975424,Body,BODY_B,Noise,Retail,Region_3,7.646140745941028,126.71055534314542,134.35669608908646,0.3280234496792443,Approve,Reject
CLM_000018,2022-05-21,2017-11-19,2022-04-09,2017,59339.43736216877,Body,BODY_B,Vibration,Fleet,Region_3,231.36091845363794,228.54842889534004,459.909347348978,0.8330056444935223,Reject,Reject
CLM_000019,2024-07-08,2018-01-18,2024-05-20,2018,160971.95760063388,Chassis,CHS_B,Noise,Retail,Region_1,226.28457365446712,132.5371170084118,358.82169066287895,0.38203841014041595,Approve,Reject
CLM_000020,2023-05-09,2017-12-24,2023-04-15,2017,76416.0891322593,Engine,ENG_A,Noise,Fleet,Region_1,63.613757015800346,95.75031969699141,159.36407671279176,0.6173358411921066,Reject,Reject
CLM_000021,2023-07-02,2016-03-27,2023-06-20,2016,157582.69765105934,Chassis,CHS_B,Noise,Fleet,Region_3,62.63251880931464,57.689285409454584,120.32180421876922,0.35770928398402146,Reject,Reject
CLM_000022,2023-02-11,2019-03-03,2023-01-28,2019,92711.40812810913,Body,BODY_B,Vibration,Retail,Region_1,102.40226012677256,141.31357620318846,243.715836329961,0.41688826817522334,Reject,Reject
CLM_000023,2022-07-19,2016-11-08,2022-06-12,2016,56305.302730305455,Engine,ENG_A,Leak,Retail,Region_3,42.88753428795065,343.87057494428217,386.7581092322328,0.5285552452396935,Reject,Approve
CLM_000024,2024-10-11,2021-03-04,2024-09-09,2021,45373.39083412228,Electronics,ELEC_A,Electrical_Issue,Retail,Region_2,144.20943667844676,356.32665017250145,500.5360868509482,0.7640354398857723,Reject,Reject
CLM_000025,2024-05-05,2017-02-22,2024-04-30,2017,70839.69336491181,Chassis,CHS_B,No_Start,Retail,Region_3,95.97556787196565,245.47637487602822,341.4519427479939,0.5792254237573135,Reject,Reject
CLM_000026,2023-12-07,2022-09-17,2023-11-24,2022,10814.311756668936,Electronics,ELEC_C,Noise,Retail,Region_2,315.9697470276862,20.31751127204763,336.2872582997338,0.8480436295371454,Reject,Approve
CLM_000027,2023-03-17,2020-12-01,2023-01-18,2020,41995.45050738162,Brakes,BRK_B,Vibration,Retail,Region_1,228.38847606336824,227.64389764375915,456.03237370712736,0.2772739494821168,Reject,Approve
CLM_000028,2024-06-19,2023-06-05,2024-05-07,2023,14592.89341514208,Brakes,BRK_A,Electrical_Issue,Fleet,Region_1,181.31471317898271,517.2115198594628,698.5262330384455,0.6574795946938427,Reject,Reject
CLM_000029,2023-08-21,2017-10-15,2023-07-07,2017,89313.07488128946,Electronics,ELEC_A,Leak,Retail,Region_3,71.49611387335432,63.03902720497397,134.53514107832828,0.2853648522464452,Reject,Reject
CLM_000030,2023-05-01,2021-03-18,2023-04-19,2021,37705.8779516345,Chassis,CHS_A,Noise,Fleet,Region_1,257.93700278902514,136.37883301450856,394.3158358035337,0.2942417283205546,Approve,Approve
CLM_000031,2023-05-09,2020-07-24,2023-05-05,2020,15949.627622527425,Body,BODY_A,Leak,Retail,Region_1,223.10544164301706,346.2815739991871,569.3870156422042,0.44712285459851486,Approve,Approve
CLM_000032,2022-09-06,2015-10-07,2022-08-19,2015,148333.8483013085,Body,BODY_A,Leak,Retail,Region_1,73.61215587067073,24.13080498755264,97.74296085822337,0.2839814166704467,Reject,Approve
CLM_000033,2022-04-11,2019-02-22,2022-02-19,2019,41542.96270053609,Body,BODY_A,Vibration,Retail,Region_2,421.13146962309634,138.90867514488858,560.0401447679849,0.8203669383394641,Approve,Reject
CLM_000034,2023-08-31,2022-03-27,2023-08-01,2022,25259.088792550156,Body,BODY_B,Leak,Retail,Region_3,36.10141404502668,597.9052031518843,634.006617196911,0.6059135258096171,Approve,Reject
CLM_000035,2024-08-30,2024-03-23,2024-07-14,2024,7935.808962692706,Electronics,ELEC_A,Noise,Retail,Region_3,188.09856440981036,552.8235747408087,740.922139150619,0.715644630693536,Approve,Approve
CLM_000036,2022-03-11,2020-02-13,2022-02-10,2020,45324.56159586613,Body,BODY_A,Electrical_Issue,Retail,Region_3,144.474453570274,555.6708525331379,700.1453061034119,0.24501010999037875,Approve,Reject
CLM_000037,2024-07-28,2017-01-14,2024-06-29,2017,109142.91053179579,Brakes,BRK_A,Vibration,Retail,Region_3,95.04217759006501,140.74195772987002,235.78413531993505,0.37984486933451517,Reject,Reject
